FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
107,5499.158112,2,42364149.4144,0.036159169550173
108,5499.191456,2,42364182.7328,0.0361545187334896
109,5499.224768,2,42364216.0128,0.0361600997135097
110,5499.258112,2,42364249.408,0.0361219630167057
111,5499.291456,2,42364282.7392,0.0361201026900324
112,5499.324768,2,42364316.1216,0.0359796480261934
113,5499.358112,2,42364349.44,0.0360298768463742
114,5499.391456,2,42364382.7968,0.0360298768463742
115,5499.424768,2,42364416.0256,0.0359889496595602
116,5499.458112,2,42364449.4208,0.0360084830896305
117,5499.491456,2,42364482.752,0.0360428991330878
118,5499.524768,2,42364516.1088,0.036077315176545
119,5499.55808,2,42364549.3376,0.0360587119098114
120,5499.591456,2,42364582.7712,0.0360001116196004
121,5499.624768,2,42364616.1152,0.0360754548498716
122,5499.65808,2,42364649.3568,0.0361219630167057
